groupcode,groupname,groupcode_s,groupname_s,countrycode,countryname,countrycode_s,countryname_s
G110,Advanced Economies,110,Advanced Economies,TWN,Taiwan Province of China,528,Taiwan Province of China
G110,Advanced Economies,110,Advanced Economies,GBR,United Kingdom,112,United Kingdom
G110,Advanced Economies,110,Advanced Economies,USA,United States,111,United States
G906,Advanced Europe,906,Advanced Europe,AND,"Andorra, Principality of",171,Andorra
G906,Advanced Europe,906,Advanced Europe,AUT,Austria,122,Austria
G906,Advanced Europe,906,Advanced Europe,BEL,Belgium,124,Belgium
G906,Advanced Europe,906,Advanced Europe,BGR,Bulgaria,918,Bulgaria
G906,Advanced Europe,906,Advanced Europe,HRV,"Croatia, Republic of",960,Croatia
G906,Advanced Europe,906,Advanced Europe,CYP,Cyprus,423,Cyprus
G906,Advanced Europe,906,Advanced Europe,CZE,Czech Republic,935,Czech Republic
G906,Advanced Europe,906,Advanced Europe,DNK,Denmark,128,Denmark
G906,Advanced Europe,906,Advanced Europe,EST,"Estonia, Republic of",939,Estonia
G906,Advanced Europe,906,Advanced Europe,FIN,Finland,172,Finland
G906,Advanced Europe,906,Advanced Europe,FRA,France,132,France
G906,Advanced Europe,906,Advanced Europe,DEU,Germany,134,Germany
G906,Advanced Europe,906,Advanced Europe,GRC,Greece,174,Greece
G906,Advanced Europe,906,Advanced Europe,ISL,Iceland,176,Iceland
G906,Advanced Europe,906,Advanced Europe,IRL,Ireland,178,Ireland
G906,Advanced Europe,906,Advanced Europe,ITA,Italy,136,Italy
G906,Advanced Europe,906,Advanced Europe,LVA,"Latvia, Republic of",941,Latvia
G906,Advanced Europe,906,Advanced Europe,LIE,"Liechtenstein, Principality of",147,Liechtenstein
G906,Advanced Europe,906,Advanced Europe,LTU,"Lithuania, Republic of",946,Lithuania
G906,Advanced Europe,906,Advanced Europe,LUX,Luxembourg,137,Luxembourg
G906,Advanced Europe,906,Advanced Europe,MLT,Malta,181,Malta
G906,Advanced Europe,906,Advanced Europe,NLD,"Netherlands, The",138,Netherlands
G906,Advanced Europe,906,Advanced Europe,NOR,Norway,142,Norway
G906,Advanced Europe,906,Advanced Europe,PRT,Portugal,182,Portugal
G906,Advanced Europe,906,Advanced Europe,SMR,"San Marino, Republic of",135,San Marino
G906,Advanced Europe,906,Advanced Europe,SVK,Slovak Republic,936,Slovak Republic
G906,Advanced Europe,906,Advanced Europe,SVN,"Slovenia, Republic of",961,Slovenia
G906,Advanced Europe,906,Advanced Europe,ESP,Spain,184,Spain
G906,Advanced Europe,906,Advanced Europe,SWE,Sweden,144,Sweden
G906,Advanced Europe,906,Advanced Europe,CHE,Switzerland,146,Switzerland
G906,Advanced Europe,906,Advanced Europe,GBR,United Kingdom,112,United Kingdom
GX229,Asia,229,Asia,AUS,Australia,193,Australia
GX229,Asia,229,Asia,BGD,Bangladesh,513,Bangladesh
GX229,Asia,229,Asia,BTN,Bhutan,514,Bhutan
GX229,Asia,229,Asia,BRN,Brunei Darussalam,516,Brunei Darussalam
GX229,Asia,229,Asia,KHM,Cambodia,522,Cambodia
GX229,Asia,229,Asia,CHN,"China, People's Republic of",924,China
GX229,Asia,229,Asia,FJI,"Fiji, Republic of",819,Fiji
GX229,Asia,229,Asia,HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR
GX229,Asia,229,Asia,IND,India,534,India
GX229,Asia,229,Asia,IDN,Indonesia,536,Indonesia
GX229,Asia,229,Asia,JPN,Japan,158,Japan
GX229,Asia,229,Asia,KIR,Kiribati,826,Kiribati
GX229,Asia,229,Asia,KOR,"Korea, Republic of",542,Korea
GX229,Asia,229,Asia,LAO,Lao People's Democratic Republic,544,Lao P.D.R.
GX229,Asia,229,Asia,MAC,"Macao Special Administrative Region, People's Republic of China",546,Macao SAR
GX229,Asia,229,Asia,MYS,Malaysia,548,Malaysia
GX229,Asia,229,Asia,MDV,Maldives,556,Maldives
GX229,Asia,229,Asia,MHL,"Marshall Islands, Republic of the",867,Marshall Islands
GX229,Asia,229,Asia,FSM,"Micronesia, Federated States of",868,Micronesia
GX229,Asia,229,Asia,MNG,Mongolia,948,Mongolia
GX229,Asia,229,Asia,MMR,Myanmar,518,Myanmar
GX229,Asia,229,Asia,NRU,"Nauru, Republic of",836,Nauru
GX229,Asia,229,Asia,NPL,Nepal,558,Nepal
GX229,Asia,229,Asia,NZL,New Zealand,196,New Zealand
GX229,Asia,229,Asia,PLW,"Palau, Republic of",565,Palau
GX229,Asia,229,Asia,PNG,Papua New Guinea,853,Papua New Guinea
GX229,Asia,229,Asia,PHL,Philippines,566,Philippines
GX229,Asia,229,Asia,WSM,Samoa,862,Samoa
GX229,Asia,229,Asia,SGP,Singapore,576,Singapore
GX229,Asia,229,Asia,SLB,Solomon Islands,813,Solomon Islands
GX229,Asia,229,Asia,LKA,Sri Lanka,524,Sri Lanka
GX229,Asia,229,Asia,TWN,Taiwan Province of China,528,Taiwan Province of China
GX229,Asia,229,Asia,THA,Thailand,578,Thailand
GX229,Asia,229,Asia,TLS,"Timor-Leste, Democratic Republic of",537,Timor-Leste
GX229,Asia,229,Asia,TON,Tonga,866,Tonga
GX229,Asia,229,Asia,TUV,Tuvalu,869,Tuvalu
GX229,Asia,229,Asia,VUT,Vanuatu,846,Vanuatu
GX229,Asia,229,Asia,VNM,Vietnam,582,Vietnam
GX1218,Caribbean,1218,Caribbean,ATG,Antigua and Barbuda,311,Antigua and Barbuda
GX1218,Caribbean,1218,Caribbean,ABW,"Aruba, Kingdom of the Netherlands",314,Aruba
GX1218,Caribbean,1218,Caribbean,BHS,"Bahamas, The",313,"Bahamas, The"
GX1218,Caribbean,1218,Caribbean,BRB,Barbados,316,Barbados
GX1218,Caribbean,1218,Caribbean,BLZ,Belize,339,Belize
GX1218,Caribbean,1218,Caribbean,DMA,Dominica,321,Dominica
GX1218,Caribbean,1218,Caribbean,GRD,Grenada,328,Grenada
GX1218,Caribbean,1218,Caribbean,GUY,Guyana,336,Guyana
GX1218,Caribbean,1218,Caribbean,HTI,Haiti,263,Haiti
GX1218,Caribbean,1218,Caribbean,JAM,Jamaica,343,Jamaica
GX1218,Caribbean,1218,Caribbean,KNA,St. Kitts and Nevis,361,St. Kitts and Nevis
GX1218,Caribbean,1218,Caribbean,LCA,St. Lucia,362,St. Lucia
GX1218,Caribbean,1218,Caribbean,VCT,St. Vincent and the Grenadines,364,St. Vincent and the Grenadines
GX1218,Caribbean,1218,Caribbean,SUR,Suriname,366,Suriname
GX1218,Caribbean,1218,Caribbean,TTO,Trinidad and Tobago,369,Trinidad and Tobago
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),ARM,"Armenia, Republic of",911,Armenia
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),AZE,"Azerbaijan, Republic of",912,Azerbaijan
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),GEO,Georgia,915,Georgia
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),KAZ,"Kazakhstan, Republic of",916,Kazakhstan
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),KGZ,Kyrgyz Republic,917,Kyrgyz Republic
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),TJK,"Tajikistan, Republic of",923,Tajikistan
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),TKM,Turkmenistan,925,Turkmenistan
G940,Caucasus and Central Asia (CCA),940,Caucasus and Central Asia (CCA),UZB,"Uzbekistan, Republic of",927,Uzbekistan
GX1212,Central America,1212,Central America,CRI,Costa Rica,238,Costa Rica
GX1212,Central America,1212,Central America,DOM,Dominican Republic,243,Dominican Republic
GX1212,Central America,1212,Central America,SLV,El Salvador,253,El Salvador
GX1212,Central America,1212,Central America,GTM,Guatemala,258,Guatemala
GX1212,Central America,1212,Central America,HND,Honduras,268,Honduras
GX1212,Central America,1212,Central America,NIC,Nicaragua,278,Nicaragua
GX1212,Central America,1212,Central America,PAN,Panama,283,Panama
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,AFG,"Afghanistan, Islamic Republic of",512,Afghanistan
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,DZA,Algeria,612,Algeria
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,ARG,Argentina,213,Argentina
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,AZE,"Azerbaijan, Republic of",912,Azerbaijan
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,BHR,"Bahrain, Kingdom of",419,Bahrain
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,BWA,Botswana,616,Botswana
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,BRN,Brunei Darussalam,516,Brunei Darussalam
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,CHN,"China, People's Republic of",924,China
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,GNQ,"Equatorial Guinea, Republic of",642,Equatorial Guinea
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,ERI,"Eritrea, The State of",643,Eritrea
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,SWZ,"Eswatini, Kingdom of",734,Eswatini
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,GAB,Gabon,646,Gabon
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,GUY,Guyana,336,Guyana
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,IRN,"Iran, Islamic Republic of",429,Iran
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,IRQ,Iraq,433,Iraq
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,KIR,Kiribati,826,Kiribati
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,KWT,Kuwait,443,Kuwait
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,LBY,Libya,672,Libya
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,MYS,Malaysia,548,Malaysia
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,MHL,"Marshall Islands, Republic of the",867,Marshall Islands
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,MUS,Mauritius,684,Mauritius
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,FSM,"Micronesia, Federated States of",868,Micronesia
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,NAM,Namibia,728,Namibia
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,NRU,"Nauru, Republic of",836,Nauru
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,NPL,Nepal,558,Nepal
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,QAT,Qatar,453,Qatar
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,RUS,Russian Federation,922,Russia
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,SAU,Saudi Arabia,456,Saudi Arabia
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,ZAF,South Africa,199,South Africa
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,THA,Thailand,578,Thailand
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,TLS,"Timor-Leste, Democratic Republic of",537,Timor-Leste
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,TTO,Trinidad and Tobago,369,Trinidad and Tobago
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,TKM,Turkmenistan,925,Turkmenistan
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,TUV,Tuvalu,869,Tuvalu
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,ARE,United Arab Emirates,466,United Arab Emirates
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,UZB,"Uzbekistan, Republic of",927,Uzbekistan
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,VEN,"Venezuela, República Bolivariana de",299,Venezuela
G209,EMDEs by External Financing: Net Creditors,209,Emerging Market and Developing Economies by External Financing: Net Creditors,VNM,Vietnam,582,Vietnam
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,ALB,Albania,914,Albania
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,AGO,Angola,614,Angola
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,ATG,Antigua and Barbuda,311,Antigua and Barbuda
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,ARM,"Armenia, Republic of",911,Armenia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,ABW,"Aruba, Kingdom of the Netherlands",314,Aruba
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BHS,"Bahamas, The",313,"Bahamas, The"
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BGD,Bangladesh,513,Bangladesh
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BRB,Barbados,316,Barbados
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BLR,"Belarus, Republic of",913,Belarus
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BLZ,Belize,339,Belize
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BEN,Benin,638,Benin
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BTN,Bhutan,514,Bhutan
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BOL,Bolivia,218,Bolivia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BIH,Bosnia and Herzegovina,963,Bosnia and Herzegovina
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BRA,Brazil,223,Brazil
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BFA,Burkina Faso,748,Burkina Faso
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,BDI,Burundi,618,Burundi
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,CPV,Cabo Verde,624,Cabo Verde
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,KHM,Cambodia,522,Cambodia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,CMR,Cameroon,622,Cameroon
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,CAF,Central African Republic,626,Central African Republic
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,TCD,Chad,628,Chad
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,CHL,Chile,228,Chile
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,COL,Colombia,233,Colombia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,COM,"Comoros, Union of the",632,Comoros
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,COD,"Congo, Democratic Republic of the",636,"Congo, Democratic Republic of the"
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,COG,"Congo, Republic of",634,"Congo, Republic of"
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,CRI,Costa Rica,238,Costa Rica
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,CIV,Côte d'Ivoire,662,Côte d'Ivoire
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,DJI,Djibouti,611,Djibouti
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,DMA,Dominica,321,Dominica
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,DOM,Dominican Republic,243,Dominican Republic
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,ECU,Ecuador,248,Ecuador
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,EGY,"Egypt, Arab Republic of",469,Egypt
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,SLV,El Salvador,253,El Salvador
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,ETH,"Ethiopia, The Federal Democratic Republic of",644,Ethiopia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,FJI,"Fiji, Republic of",819,Fiji
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GMB,"Gambia, The",648,"Gambia, The"
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GEO,Georgia,915,Georgia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GHA,Ghana,652,Ghana
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GRD,Grenada,328,Grenada
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GTM,Guatemala,258,Guatemala
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GIN,Guinea,656,Guinea
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,GNB,Guinea-Bissau,654,Guinea-Bissau
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,HTI,Haiti,263,Haiti
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,HND,Honduras,268,Honduras
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,HUN,Hungary,944,Hungary
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,IND,India,534,India
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,IDN,Indonesia,536,Indonesia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,JAM,Jamaica,343,Jamaica
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,JOR,Jordan,439,Jordan
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,KAZ,"Kazakhstan, Republic of",916,Kazakhstan
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,KEN,Kenya,664,Kenya
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,KOS,"Kosovo, Republic of",967,Kosovo
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,KGZ,Kyrgyz Republic,917,Kyrgyz Republic
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,LAO,Lao People's Democratic Republic,544,Lao P.D.R.
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,LBN,Lebanon,446,Lebanon
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,LSO,"Lesotho, Kingdom of",666,Lesotho
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,LBR,Liberia,668,Liberia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MDG,"Madagascar, Republic of",674,Madagascar
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MWI,Malawi,676,Malawi
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MDV,Maldives,556,Maldives
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MLI,Mali,678,Mali
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MRT,"Mauritania, Islamic Republic of",682,Mauritania
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MEX,Mexico,273,Mexico
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MDA,"Moldova, Republic of",921,Moldova
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MNG,Mongolia,948,Mongolia
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MNE,Montenegro,943,"Montenegro, Rep. of"
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MAR,Morocco,686,Morocco
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MOZ,"Mozambique, Republic of",688,Mozambique
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,MMR,Myanmar,518,Myanmar
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,NIC,Nicaragua,278,Nicaragua
G606,EMDEs by External Financing: Net Debtors,606,Emerging Market and Developing Economies by External Financing: Net Debtors,NER,Niger,692,Niger
