countrycode,countryname,countrycode_s,countryname_s,G001,G080,G083,G084,G087,G089,G092,G110,G119,G1201,G1515,G1614,G1626,G1627,G200,G201,G202,G205,G209,G216,G400,G401,G402,G406,G505,G510,G603,G606,G711,G903,G906,G92031,G940,G995,G998,GX117,GX1212,GX1218,GX123,GX1518,GX1603,GX2041,GX229,GX440,GX504,GX604,GX88,GX93,GX970,groupa,groupaplus
JAM,Jamaica,343,Jamaica,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,1
JOR,Jordan,439,Jordan,1,,,,,,1,,,1,,,,,1,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,1
JPN,Japan,158,Japan,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1
KAZ,"Kazakhstan, Republic of",916,Kazakhstan,1,1,,,,,,,,1,,,,,1,,,,,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,1,1
KEN,Kenya,664,Kenya,1,,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,1
KGZ,Kyrgyz Republic,917,Kyrgyz Republic,1,,,1,,,1,,,,,,,,1,1,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,
KHM,Cambodia,522,Cambodia,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
KIR,Kiribati,826,Kiribati,1,,,,,1,1,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
KNA,St. Kitts and Nevis,361,St. Kitts and Nevis,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
KOR,"Korea, Republic of",542,Korea,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1
KOS,"Kosovo, Republic of",967,Kosovo,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,
KWT,Kuwait,443,Kuwait,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
LAO,Lao People's Democratic Republic,544,Lao P.D.R.,1,,,,1,,1,,,,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,,1,,,
LBN,Lebanon,446,Lebanon,1,,,1,1,,1,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,
LBR,Liberia,668,Liberia,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
LBY,Libya,672,Libya,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
LCA,St. Lucia,362,St. Lucia,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
LIE,"Liechtenstein, Principality of",147,Liechtenstein,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
LKA,Sri Lanka,524,Sri Lanka,1,,,,1,,1,,,1,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,,1,,,
LSO,"Lesotho, Kingdom of",666,Lesotho,1,,1,,,,1,,,,,,1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,
LTU,"Lithuania, Republic of",946,Lithuania,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
LUX,Luxembourg,137,Luxembourg,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
LVA,"Latvia, Republic of",941,Latvia,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
MAC,"Macao Special Administrative Region, People's Republic of China",546,Macao SAR,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
MAR,Morocco,686,Morocco,1,,,,,,1,,,1,,,,,1,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,1
MDA,"Moldova, Republic of",921,Moldova,1,,,1,1,,1,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,,
MDG,"Madagascar, Republic of",674,Madagascar,1,,,,1,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
MDV,Maldives,556,Maldives,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
MEX,Mexico,273,Mexico,1,,1,,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,1,,1,1
MHL,"Marshall Islands, Republic of the",867,Marshall Islands,1,,,,,1,1,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
MKD,"North Macedonia, Republic of",962,North Macedonia,1,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,
MLI,Mali,678,Mali,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
MLT,Malta,181,Malta,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
MMR,Myanmar,518,Myanmar,1,,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
MNE,Montenegro,943,"Montenegro, Rep. of",1,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,
MNG,Mongolia,948,Mongolia,1,,,,,1,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
MOZ,"Mozambique, Republic of",688,Mozambique,1,,,1,1,,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
MRT,"Mauritania, Islamic Republic of",682,Mauritania,1,,,,1,1,1,,,,,,,,1,1,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,
MUS,Mauritius,684,Mauritius,1,,,1,,,1,,,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,
MWI,Malawi,676,Malawi,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
MYS,Malaysia,548,Malaysia,1,,1,,,,1,,,1,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,1,,1,1
NAM,Namibia,728,Namibia,1,,,,,,1,,,1,,,1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,
NER,Niger,692,Niger,1,,,,1,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
NGA,Nigeria,694,Nigeria,1,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,,1,1
NIC,Nicaragua,278,Nicaragua,1,,,,,,1,,,,,,,,1,1,,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,1,,,
NLD,"Netherlands, The",138,Netherlands,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,1
NOR,Norway,142,Norway,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
NPL,Nepal,558,Nepal,1,,,1,,,1,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
NRU,"Nauru, Republic of",836,Nauru,1,,,1,,,1,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
NZL,New Zealand,196,New Zealand,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
OMN,Oman,449,Oman,1,1,,,,,,,,1,,,,,1,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,
PAK,Pakistan,564,Pakistan,1,,1,,,,1,,,1,,,,,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,1
PAN,Panama,283,Panama,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,
PER,Peru,293,Peru,1,,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1
PHL,Philippines,566,Philippines,1,,,1,,,1,,,1,1,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,1,,1,1,,1,1
PLW,"Palau, Republic of",565,Palau,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
PNG,Papua New Guinea,853,Papua New Guinea,1,,,,,1,1,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
POL,"Poland, Republic of",964,Poland,1,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,1,1
PRI,Puerto Rico,359,Puerto Rico,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,
PRT,Portugal,182,Portugal,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
PRY,Paraguay,288,Paraguay,1,,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1
QAT,Qatar,453,Qatar,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
ROU,Romania,968,Romania,1,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,,
RUS,Russian Federation,922,Russia,1,,,,,,1,,,1,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1
RWA,Rwanda,714,Rwanda,1,,,,,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,
SAU,Saudi Arabia,456,Saudi Arabia,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
SDN,Sudan,732,Sudan,1,,,,1,1,1,,,,,,,,1,1,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,
SEN,Senegal,722,Senegal,1,,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
SGP,Singapore,576,Singapore,1,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,
SLB,Solomon Islands,813,Solomon Islands,1,,,,,1,1,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
SLE,Sierra Leone,724,Sierra Leone,1,,,,,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,
SLV,El Salvador,253,El Salvador,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,
SMR,"San Marino, Republic of",135,San Marino,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
SOM,Somalia,726,Somalia,1,,,,1,1,1,,,,,,,,1,1,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,
SRB,"Serbia, Republic of",942,Serbia,1,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,
SSD,"South Sudan, Republic of",733,South Sudan,1,1,,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,
STP,"São Tomé and Príncipe, Democratic Republic of",716,São Tomé and Príncipe,1,,,1,1,,1,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
SUR,Suriname,366,Suriname,1,,,,1,1,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,
SVK,Slovak Republic,936,Slovak Republic,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
SVN,"Slovenia, Republic of",961,Slovenia,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
SWE,Sweden,144,Sweden,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,1,,
