countrycode,countryname,countrycode_s,countryname_s,department
FJI,"Fiji, Republic of",819,Fiji,APD
KIR,Kiribati,826,Kiribati,APD
NRU,"Nauru, Republic of",836,Nauru,APD
VUT,Vanuatu,846,Vanuatu,APD
PNG,Papua New Guinea,853,Papua New Guinea,APD
WSM,Samoa,862,Samoa,APD
TON,Tonga,866,Tonga,AFR
MHL,"Marshall Islands, Republic of the",867,Marshall Islands,APD
FSM,"Micronesia, Federated States of",868,Micronesia,APD
TUV,Tuvalu,869,Tuvalu,APD
ARM,"Armenia, Republic of",911,Armenia,MCD
AZE,"Azerbaijan, Republic of",912,Azerbaijan,MCD
BLR,"Belarus, Republic of",913,Belarus,EUR
ALB,Albania,914,Albania,EUR
GEO,Georgia,915,Georgia,MCD
KAZ,"Kazakhstan, Republic of",916,Kazakhstan,MCD
KGZ,Kyrgyz Republic,917,Kyrgyz Republic,MCD
BGR,Bulgaria,918,Bulgaria,EUR
MDA,"Moldova, Republic of",921,Moldova,EUR
RUS,Russian Federation,922,Russia,EUR
TJK,"Tajikistan, Republic of",923,Tajikistan,MCD
CHN,"China, People's Republic of",924,China,APD
TKM,Turkmenistan,925,Turkmenistan,MCD
UKR,Ukraine,926,Ukraine,EUR
UZB,"Uzbekistan, Republic of",927,Uzbekistan,MCD
CZE,Czech Republic,935,Czech Republic,EUR
SVK,Slovak Republic,936,Slovak Republic,EUR
EST,"Estonia, Republic of",939,Estonia,EUR
LVA,"Latvia, Republic of",941,Latvia,EUR
SRB,"Serbia, Republic of",942,Serbia,EUR
MNE,Montenegro,943,"Montenegro, Rep. of",EUR
HUN,Hungary,944,Hungary,EUR
LTU,"Lithuania, Republic of",946,Lithuania,EUR
MNG,Mongolia,948,Mongolia,APD
HRV,"Croatia, Republic of",960,Croatia,EUR
SVN,"Slovenia, Republic of",961,Slovenia,EUR
MKD,"North Macedonia, Republic of",962,North Macedonia,EUR
BIH,Bosnia and Herzegovina,963,Bosnia and Herzegovina,EUR
POL,"Poland, Republic of",964,Poland,EUR
KOS,"Kosovo, Republic of",967,Kosovo,EUR
ROU,Romania,968,Romania,EUR
