database,name,Agency ID,Resource ID,Latest Version,Unique ID
IMF.RES.WEO:WEO_LIVE_1995_MAY_VINTAGE,WEO Live 1995 May,IMF.RES.WEO,WEO_LIVE_1995_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1995_MAY_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2010_JAN_VINTAGE,WEO Live 2010 January,IMF.RES.WEO,WEO_LIVE_2010_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2010_JAN_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2004_SEP_FINAL_VINTAGE,GEE Live 2004 September Final,IMF.RES.GEE,GEE_LIVE_2004_SEP_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2004_SEP_FINAL_VINTAGE(1.0.0)
IMF.STA:IIP_2026_APR_VINTAGE,International Investment Position (IIP) 2026 April,IMF.STA,IIP_2026_APR_VINTAGE,1.0.0,IMF.STA:IIP_2026_APR_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2020_APR_GAS3_VINTAGE,GAS Live 2020 April GAS3,IMF.RES.GAS,GAS_LIVE_2020_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_APR_GAS3_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2013_JAN_GAS1_VINTAGE,GAS Live 2013 January GAS1,IMF.RES.GAS,GAS_LIVE_2013_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2013_JAN_GAS1_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2013_OCT_FINAL_VINTAGE,GAS Live 2013 October Final,IMF.RES.GAS,GAS_LIVE_2013_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2013_OCT_FINAL_VINTAGE(1.0.0)
IMF.STA:ANEA_2026_APR_VINTAGE,"National Economic Accounts (NEA), Annual Data 2026 April",IMF.STA,ANEA_2026_APR_VINTAGE,1.0.0,IMF.STA:ANEA_2026_APR_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2012_OCT_FINAL_VINTAGE,GAS Live 2012 October Final,IMF.RES.GAS,GAS_LIVE_2012_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2012_OCT_FINAL_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2023_JAN_GAS1_VINTAGE,GAS Live 2023 January GAS1,IMF.RES.GAS,GAS_LIVE_2023_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2023_JAN_GAS1_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2017_JUL_GAS1_VINTAGE,GAS Live 2017 July GAS1,IMF.RES.GAS,GAS_LIVE_2017_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2017_JUL_GAS1_VINTAGE(1.0.0)
IMF.STA:ANEA_2026_FEB_VINTAGE,"National Economic Accounts (NEA), Annual Data 2026 February",IMF.STA,ANEA_2026_FEB_VINTAGE,1.0.0,IMF.STA:ANEA_2026_FEB_VINTAGE(1.0.0)
IMF.STA:MFS_FC_2026_APR_VINTAGE,"Monetary and Financial Statistics (MFS), Financial Corporations 2026 April",IMF.STA,MFS_FC_2026_APR_VINTAGE,1.0.0,IMF.STA:MFS_FC_2026_APR_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2022_APR_GAS3B_VINTAGE,GEE Live 2022 April GAS3b,IMF.RES.GEE,GEE_LIVE_2022_APR_GAS3B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_APR_GAS3B_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2003_SEP_FINAL_VINTAGE,GEE Live 2003 September Final,IMF.RES.GEE,GEE_LIVE_2003_SEP_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2003_SEP_FINAL_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2012_APR_GAS2_VINTAGE,GAS Live 2012 April GAS2,IMF.RES.GAS,GAS_LIVE_2012_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2012_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2020_JUN_FINAL_VINTAGE,GEE Live 2020 June Final,IMF.RES.GEE,GEE_LIVE_2020_JUN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_JUN_FINAL_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2009_OCT_FINAL_VINTAGE,GEE Live 2009 October Final,IMF.RES.GEE,GEE_LIVE_2009_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2009_OCT_FINAL_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_1999_APR_VINTAGE,WEO Live 1999 April,IMF.RES.WEO,WEO_LIVE_1999_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1999_APR_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2014_OCT_FINAL_VINTAGE,GAS Live 2014 October Final,IMF.RES.GAS,GAS_LIVE_2014_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_OCT_FINAL_VINTAGE(1.0.0)
IMF.RES:WEO_2025_OCT_VINTAGE,World Economic Outlook (WEO) 2025 October,IMF.RES,WEO_2025_OCT_VINTAGE,1.0.0,IMF.RES:WEO_2025_OCT_VINTAGE(1.0.0)
IMF.STA:LS_2026_FEB_VINTAGE,Labor Statistics (LS) 2026 February,IMF.STA,LS_2026_FEB_VINTAGE,1.0.0,IMF.STA:LS_2026_FEB_VINTAGE(1.0.0)
IMF.STA:MFS_FC_2026_FEB_VINTAGE,"Monetary and Financial Statistics (MFS), Financial Corporations 2026 February",IMF.STA,MFS_FC_2026_FEB_VINTAGE,1.0.0,IMF.STA:MFS_FC_2026_FEB_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2019_APR_GAS3_VINTAGE,GAS Live 2019 April GAS3,IMF.RES.GAS,GAS_LIVE_2019_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_APR_GAS3_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2021_APR_GAS2_VINTAGE,GEE Live 2021 April GAS2,IMF.RES.GEE,GEE_LIVE_2021_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_APR_GAS2_VINTAGE(1.0.0)
IMF.STA:MFS_ODC_2026_APR_VINTAGE,"Monetary and Financial Statistics (MFS), Other Depository Corporations 2026 April",IMF.STA,MFS_ODC_2026_APR_VINTAGE,1.0.0,IMF.STA:MFS_ODC_2026_APR_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2002_APR_VINTAGE,WEO Live 2002 April,IMF.RES.WEO,WEO_LIVE_2002_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2002_APR_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2019_OCT_GAS3B_VINTAGE,GAS Live 2019 October GAS3b,IMF.RES.GAS,GAS_LIVE_2019_OCT_GAS3B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_OCT_GAS3B_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2023_APR_GAS3B_VINTAGE,GEE Live 2023 April GAS3b,IMF.RES.GEE,GEE_LIVE_2023_APR_GAS3B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_APR_GAS3B_VINTAGE(1.0.0)
IMF.STA:IIP_2026_FEB_VINTAGE,International Investment Position (IIP) 2026 February,IMF.STA,IIP_2026_FEB_VINTAGE,1.0.0,IMF.STA:IIP_2026_FEB_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2017_JAN_FINAL_VINTAGE,GEE Live 2017 January Final,IMF.RES.GEE,GEE_LIVE_2017_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2017_JAN_FINAL_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2025_APR_GAS3B_VINTAGE,GEE Live 2025 April GAS3b,IMF.RES.GEE,GEE_LIVE_2025_APR_GAS3B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_APR_GAS3B_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2019_APR_VINTAGE,WEO Live 2019 April,IMF.RES.WEO,WEO_LIVE_2019_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2019_APR_VINTAGE(1.0.0)
IMF.STA:IIP_2026_JAN_VINTAGE,International Investment Position (IIP) 2026 January,IMF.STA,IIP_2026_JAN_VINTAGE,1.0.0,IMF.STA:IIP_2026_JAN_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2016_OCT_GAS2_VINTAGE,GEE Live 2016 October GAS2,IMF.RES.GEE,GEE_LIVE_2016_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_OCT_GAS2_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2019_OCT_ICP2017PPP_VINTAGE,WEO Live 2019 October (ICP2017PPP Weights),IMF.RES.WEO,WEO_LIVE_2019_OCT_ICP2017PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2019_OCT_ICP2017PPP_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2025_OCT_FINAL_VINTAGE,GAS Live 2025 October Final,IMF.RES.GAS,GAS_LIVE_2025_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2025_OCT_FINAL_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2021_APR_GAS2_VINTAGE,GAS Live 2021 April GAS2,IMF.RES.GAS,GAS_LIVE_2021_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2021_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2024_OCT_GAS3_VINTAGE,GEE Live 2024 October GAS3,IMF.RES.GEE,GEE_LIVE_2024_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_OCT_GAS3_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_1999_SEP_VINTAGE,WEO Live 1999 September,IMF.RES.WEO,WEO_LIVE_1999_SEP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1999_SEP_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2014_OCT_GAS3_VINTAGE,GAS Live 2014 October GAS3,IMF.RES.GAS,GAS_LIVE_2014_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_OCT_GAS3_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2018_APR_GAS3_VINTAGE,GAS Live 2018 April GAS3,IMF.RES.GAS,GAS_LIVE_2018_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_APR_GAS3_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_1997_MAY_VINTAGE,WEO Live 1997 May,IMF.RES.WEO,WEO_LIVE_1997_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1997_MAY_VINTAGE(1.0.0)
IMF.STA:IL_2026_JAN_VINTAGE,International Liquidity (IL) 2026 January,IMF.STA,IL_2026_JAN_VINTAGE,1.0.0,IMF.STA:IL_2026_JAN_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2019_OCT_VINTAGE,WEO Live 2019 October,IMF.RES.WEO,WEO_LIVE_2019_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2019_OCT_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2024_JAN_ICP2021PPP_VINTAGE,WEO Live 2024 January (ICP2021PPP Weights),IMF.RES.WEO,WEO_LIVE_2024_JAN_ICP2021PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2024_JAN_ICP2021PPP_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2019_APR_FINAL_VINTAGE,GAS Live 2019 April Final,IMF.RES.GAS,GAS_LIVE_2019_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_APR_FINAL_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2009_APR_FINAL_VINTAGE,GEE Live 2009 April Final,IMF.RES.GEE,GEE_LIVE_2009_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2009_APR_FINAL_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2016_OCT_FINAL_VINTAGE,GAS Live 2016 October Final,IMF.RES.GAS,GAS_LIVE_2016_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_OCT_FINAL_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2024_APR_ICP2021PPP_VINTAGE,WEO Live 2024 April (ICP2021PPP Weights),IMF.RES.WEO,WEO_LIVE_2024_APR_ICP2021PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2024_APR_ICP2021PPP_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2016_JAN_FINAL_VINTAGE,GEE Live 2016 January Final,IMF.RES.GEE,GEE_LIVE_2016_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_JAN_FINAL_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2012_JAN_VINTAGE,WEO Live 2012 January,IMF.RES.WEO,WEO_LIVE_2012_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2012_JAN_VINTAGE(1.0.0)
IMF.STA:ITG_2026_JAN_VINTAGE,International Trade in Goods (ITG) 2026 January,IMF.STA,ITG_2026_JAN_VINTAGE,1.0.0,IMF.STA:ITG_2026_JAN_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2024_APR_VINTAGE,WEO Live 2024 April,IMF.RES.WEO,WEO_LIVE_2024_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2024_APR_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2012_JAN_GAS1_VINTAGE,GEE Live 2012 January GAS1,IMF.RES.GEE,GEE_LIVE_2012_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2012_JAN_GAS1_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2017_JAN_GAS1_VINTAGE,GAS Live 2017 January GAS1,IMF.RES.GAS,GAS_LIVE_2017_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2017_JAN_GAS1_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2022_APR_GAS2_VINTAGE,GAS Live 2022 April GAS2,IMF.RES.GAS,GAS_LIVE_2022_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2020_APR_GAS3C_VINTAGE,GAS Live 2020 April GAS3c,IMF.RES.GAS,GAS_LIVE_2020_APR_GAS3C_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_APR_GAS3C_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2001_MAY_VINTAGE,WEO Live 2001 May,IMF.RES.WEO,WEO_LIVE_2001_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2001_MAY_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2023_OCT_ICP2021PPP_VINTAGE,WEO Live 2023 October (ICP2021PPP Weights),IMF.RES.WEO,WEO_LIVE_2023_OCT_ICP2021PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2023_OCT_ICP2021PPP_VINTAGE(1.0.0)
IMF.STA:BOP_2026_FEB_VINTAGE,Balance of Payments (BOP) 2026 February,IMF.STA,BOP_2026_FEB_VINTAGE,1.0.0,IMF.STA:BOP_2026_FEB_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2015_OCT_GAS3_VINTAGE,GAS Live 2015 October GAS3,IMF.RES.GAS,GAS_LIVE_2015_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2015_OCT_GAS3_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2020_APR_GAS3D_VINTAGE,GEE Live 2020 April GAS3d,IMF.RES.GEE,GEE_LIVE_2020_APR_GAS3D_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_APR_GAS3D_VINTAGE(1.0.0)
IMF.STA:MFS_OFC_2026_JAN_VINTAGE,"Monetary and Financial Statistics (MFS), Other Financial Corporations 2026 January",IMF.STA,MFS_OFC_2026_JAN_VINTAGE,1.0.0,IMF.STA:MFS_OFC_2026_JAN_VINTAGE(1.0.0)
IMF.STA:MFS_FC_2026_JAN_VINTAGE,"Monetary and Financial Statistics (MFS), Financial Corporations 2026 January",IMF.STA,MFS_FC_2026_JAN_VINTAGE,1.0.0,IMF.STA:MFS_FC_2026_JAN_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2019_APR_GAS2_VINTAGE,GEE Live 2019 April GAS2,IMF.RES.GEE,GEE_LIVE_2019_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2019_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2011_JUN_GAS0_VINTAGE,GAS Live 2011 June GAS0,IMF.RES.GAS,GAS_LIVE_2011_JUN_GAS0_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2011_JUN_GAS0_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_1996_OCT_VINTAGE,WEO Live 1996 October,IMF.RES.WEO,WEO_LIVE_1996_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1996_OCT_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2024_APR_GAS3_VINTAGE,GEE Live 2024 April GAS3,IMF.RES.GEE,GEE_LIVE_2024_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_APR_GAS3_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2021_OCT_GAS2_VINTAGE,GAS Live 2021 October GAS2,IMF.RES.GAS,GAS_LIVE_2021_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2021_OCT_GAS2_VINTAGE(1.0.0)
