relationship_id,from_entity_id,from_table,from_columns,to_entity_id,to_table,to_columns,relationship_type,cardinality,confidence,source,notes
parent.ecm.targetmarket.ecm.tranche,ecm.targetmarket,ECMDealTranchesTargetMarkets,ECMDealTrancheDealId;ECMDealTrancheTrancheId,ecm.tranche,ECMDealTranches,ECMDealDealId;TrancheId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecmshare.tranche.ecmshare.deal,ecmshare.tranche,ShareECMDealTranches,ShareECMDealDealId,ecmshare.deal,ShareECMDeal,DealId,parent,many-to-one,documented,ECMSHARE_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecmshare.performance.ecmshare.tranche,ecmshare.performance,ShareECMDealTranchesAfterMarket,ShareECMDealTrancheDealId;ShareECMDealTrancheTrancheId,ecmshare.tranche,ShareECMDealTranches,ShareECMDealDealId;TrancheId,parent,many-to-one,documented,ECMSHARE_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.tranche.loan.deal,loan.tranche,LoanDealTranches,LoanDealDealId,loan.deal,LoanDeal,DealId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.commitmentfee.loan.tranche,loan.commitmentfee,LoanDealTranchesCommitmentFees,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.company.loan.deal,loan.company,LoanDealCompanies,LoanDealDealId,loan.deal,LoanDeal,DealId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.financialsponsor.loan.deal,loan.financialsponsor,LoanDealFinancialSponsors,LoanDealDealId,loan.deal,LoanDeal,DealId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.guarantor.loan.tranche,loan.guarantor,LoanDealTranchesGuarantors,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.instrumenttype.loan.tranche,loan.instrumenttype,LoanDealTranchesInstrumentTypes,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.lbomnadeal.loan.deal,loan.lbomnadeal,LoanDealLBOMNADeals,LoanDealDealId,loan.deal,LoanDeal,DealId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.margin.loan.tranche,loan.margin,LoanDealTranchesMargins,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.marginline.loan.margin,loan.marginline,LoanDealTranchesMarginsMarginLines,LoanDealTrancheDealId;LoanDealTrancheTrancheId;LoanDealTrancheMarginMarginNumber,loan.margin,LoanDealTranchesMargins,LoanDealDealId;TrancheId;MarginNumber,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.mnarelateddeal.loan.deal,loan.mnarelateddeal,LoanDealMNARelatedDeals,LoanDealDealId,loan.deal,LoanDeal,DealId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.outstanding.loan.tranche,loan.outstanding,LoanDealTranchesOutstandingsAmountDrawnDown,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.participationfee.loan.tranche,loan.participationfee,LoanDealTranchesParticipationFeesAmountFrom,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.syndicatemember.loan.tranche,loan.syndicatemember,LoanDealTranchesSyndicate,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.loan.use.loan.tranche,loan.use,LoanDealTranchesUseOfProceeds,LoanDealTrancheDealId;LoanDealTrancheTrancheId,loan.tranche,LoanDealTranches,LoanDealDealId;TrancheId,parent,many-to-one,documented,LOAN_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.acquisitiontechnique.mna.deal,mna.acquisitiontechnique,MNADealAcquisitionTechniques,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.advisor.mna.deal,mna.advisor,MNADealAdvisors,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.company.mna.deal,mna.company,MNADealCompanies,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.consideration.mna.deal,mna.consideration,MNADealConsiderationsAmount,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.defensetechnique.mna.deal,mna.defensetechnique,MNADealDefenseTechniques,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.financialsponsor.mna.deal,mna.financialsponsor,MNADealFinancialSponsors,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.lbomnadeal.mna.deal,mna.lbomnadeal,MNADealLBOMNADeals,MNADealDealId,mna.deal,MNADeal,DealId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.mna.siccode.mna.company,mna.siccode,MNADealCompaniesPreDealSICCodes,MNADealCompanyDealId;MNADealCompanyCompanyId;MNADealCompanyCompanyRoleId,mna.company,MNADealCompanies,MNADealDealId;CompanyId;CompanyRoleId,parent,many-to-one,documented,MNA_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
reference.company.company.bankparentid,company.company,Company,BankParentId,company.company,Company,Id,reference,many-to-one,derived,COMPANY_nn.xml:8,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.companyparentid,company.company,Company,CompanyParentId,company.company,Company,Id,reference,many-to-one,derived,COMPANY_nn.xml:13,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.financialsponsorparentid,company.company,Company,FinancialSponsorParentId,company.company,Company,Id,reference,many-to-one,derived,COMPANY_nn.xml:15,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.immediateparentid,company.company,Company,ImmediateParentId,company.company,Company,Id,reference,many-to-one,derived,COMPANY_nn.xml:17,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.nationalityofbusinessisocode,company.company,Company,NationalityOfBusinessISOCode,reference_files.country,Country,ISOCode,reference,many-to-one,derived,COMPANY_nn.xml:25,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.nationalityofincorporationisocode,company.company,Company,NationalityOfIncorporationISOCode,reference_files.country,Country,ISOCode,reference,many-to-one,derived,COMPANY_nn.xml:26,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.organisationtypeid,company.company,Company,OrganisationTypeId,reference_files.state,State,Id,reference,many-to-one,derived,COMPANY_nn.xml:27,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.publicstatusid,company.company,Company,PublicStatusId,reference_files.companypublicstatus,CompanyPublicStatus,Id,reference,many-to-one,derived,COMPANY_nn.xml:28,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.reitsubsectorid,company.company,Company,ReitSubSectorId,reference_files.state,State,Id,reference,many-to-one,derived,COMPANY_nn.xml:29,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.sigid,company.company,Company,SIGId,reference_files.companysig,CompanySIG,Id,reference,many-to-one,derived,COMPANY_nn.xml:32,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.stateid,company.company,Company,StateId,reference_files.state,State,Id,reference,many-to-one,derived,COMPANY_nn.xml:33,Reference target inferred from the field name and business description; verify against the live database.
reference.company.company.successorcompanyid,company.company,Company,SuccessorCompanyId,company.company,Company,Id,reference,many-to-one,derived,COMPANY_nn.xml:34,Reference target inferred from the field name and business description; verify against the live database.
reference.company.listing.exchangeid,company.listing,CompanyListings,ExchangeId,reference_files.exchange,Exchange,Id,reference,many-to-one,derived,COMPANY_nn.xml:42,Reference target inferred from the field name and business description; verify against the live database.
reference.company.naicscode.code,company.naicscode,CompanyNAICSCodes,Code,reference_files.companynaicscode,CompanyNAICSCode,Code,reference,many-to-one,derived,COMPANY_nn.xml:51,Reference target inferred from the field name and business description; verify against the live database.
reference.company.siccode.code,company.siccode,CompanySICCodes,Code,reference_files.companysiccode,CompanySICCode,Code,reference,many-to-one,derived,COMPANY_nn.xml:59,Reference target inferred from the field name and business description; verify against the live database.
reference.companyshare.company.id,companyshare.company,ShareCompany,Id,company.company,Company,Id,reference,many-to-one,derived,COMPANYSHARE_nn.xml:9,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.commonstatusid,dcm.deal,DCMDeal,CommonStatusId,reference_files.dealstatus.dealstatus,DealStatus,Id,reference,many-to-one,database_verified,DCM_nn.xml:13,Live TOP (20) verification in July 2026 confirmed CommonStatusId joins to DealStatus.Id; all 20 sampled rows decoded as Priced.
reference.dcm.deal.innovationid,dcm.deal,DCMDeal,InnovationId,reference_files.currency,Currency,Id,reference,many-to-one,derived,DCM_nn.xml:19,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.issuerid,dcm.deal,DCMDeal,IssuerId,company.company,Company,Id,reference,many-to-one,database_verified,DCM_nn.xml:29,Live TOP (20) verification in July 2026 confirmed IssuerId joins to Company.Id. BrandName was populated for 8 of 20 sampled deals; use LEFT JOIN and preserve IssuerId when the name is missing.
reference.dcm.deal.localissuetypeid,dcm.deal,DCMDeal,LocalIssueTypeId,reference_files.dcmlocalissuetype,DCMLocalIssueType,Id,reference,many-to-one,derived,DCM_nn.xml:31,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.mtnprogrammetypeid,dcm.deal,DCMDeal,MTNProgrammeTypeId,reference_files.dcmmtnprogramtype,DCMMTNProgramType,Id,reference,many-to-one,derived,DCM_nn.xml:33,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.nationalityisocode,dcm.deal,DCMDeal,NationalityISOCode,reference_files.country,Country,ISOCode,reference,many-to-one,derived,DCM_nn.xml:34,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.originatorid,dcm.deal,DCMDeal,OriginatorId,company.company,Company,Id,reference,many-to-one,derived,DCM_nn.xml:36,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.principalpayingagentid,dcm.deal,DCMDeal,PrincipalPayingAgentId,company.company,Company,Id,reference,many-to-one,derived,DCM_nn.xml:38,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.sectorid,dcm.deal,DCMDeal,SectorId,reference_files.dealstatus.dealsectortype,DealSectorType,Id,reference,many-to-one,derived,DCM_nn.xml:43,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.trusteeid,dcm.deal,DCMDeal,TrusteeId,company.company,Company,Id,reference,many-to-one,derived,DCM_nn.xml:49,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.deal.typeid,dcm.deal,DCMDeal,TypeId,reference_files.dcmdealtype,DCMDealType,Id,reference,many-to-one,derived,DCM_nn.xml:50,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.basisid,dcm.tranche,DCMDealTranches,BasisId,reference_files.dcmbasis,DCMBasis,Id,reference,many-to-one,derived,DCM_nn.xml:60,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.bearerregisteredid,dcm.tranche,DCMDealTranches,BearerRegisteredId,reference_files.bearertype,BearerType,Id,reference,many-to-one,derived,DCM_nn.xml:61,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.callfrequencyid,dcm.tranche,DCMDealTranches,CallFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,DCM_nn.xml:65,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.collateraltypeid,dcm.tranche,DCMDealTranches,CollateralTypeId,reference_files.dcmcollateraltype,DCMCollateralType,Id,reference,many-to-one,derived,DCM_nn.xml:67,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.couponfrequencyid,dcm.tranche,DCMDealTranches,CouponFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,DCM_nn.xml:71,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.couponsetfrequencyid,dcm.tranche,DCMDealTranches,CouponSetFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,DCM_nn.xml:73,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.currencyisocode,dcm.tranche,DCMDealTranches,CurrencyISOCode,reference_files.currency,Currency,ISOCode,reference,many-to-one,derived,DCM_nn.xml:74,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.issuetypeid,dcm.tranche,DCMDealTranches,IssueTypeId,reference_files.dcmissuetype,DCMIssueType,Id,reference,many-to-one,derived,DCM_nn.xml:110,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.marketsubtypeid,dcm.tranche,DCMDealTranches,MarketSubTypeId,reference_files.dcmmarketsubtype,DCMMarketSubType,Id,reference,many-to-one,derived,DCM_nn.xml:116,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.putfrequencyid,dcm.tranche,DCMDealTranches,PutFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,DCM_nn.xml:125,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.securitytypeid,dcm.tranche,DCMDealTranches,SecurityTypeId,reference_files.dcmsecuritytype,DCMSecurityType,Id,reference,many-to-one,derived,DCM_nn.xml:129,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.tranche.tiercapitalid,dcm.tranche,DCMDealTranches,TierCapitalId,reference_files.dcmtiercapital,DCMTierCapital,Id,reference,many-to-one,derived,DCM_nn.xml:137,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.financialsponsor.activitytypeid,dcm.financialsponsor,DCMDealFinancialSponsors,ActivityTypeId,reference_files.sponsoractivitytype,SponsorActivityType,Id,reference,many-to-one,derived,DCM_nn.xml:149,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.financialsponsor.financialsponsorid,dcm.financialsponsor,DCMDealFinancialSponsors,FinancialSponsorId,company.company,Company,Id,reference,many-to-one,derived,DCM_nn.xml:150,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.guarantor.guarantorid,dcm.guarantor,DCMDealTranchesGuarantors,GuarantorId,company.company,Company,Id,reference,many-to-one,derived,DCM_nn.xml:165,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.lbomnadeal.lbomnadealid,dcm.lbomnadeal,DCMDealLBOMNADeals,LBOMNADealId,mna.deal,MNADeal,DealId,reference,many-to-one,derived,DCM_nn.xml:179,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.syndicatemember.bankid,dcm.syndicatemember,DCMDealTranchesSyndicate,BankId,company.company,Company,Id,reference,many-to-one,derived,DCM_nn.xml:192,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.syndicatemember.bankroleid,dcm.syndicatemember,DCMDealTranchesSyndicate,BankRoleId,reference_files.dcmbankrole,DCMBankRole,Id,reference,many-to-one,derived,DCM_nn.xml:193,Reference target inferred from the field name and business description; verify against the live database.
reference.dcm.use.useid,dcm.use,DCMDealUseOfProceeds,UseId,reference_files.proceeds,Proceeds,Id,reference,many-to-one,derived,DCM_nn.xml:204,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.canadianincometrustid,ecm.deal,ECMDeal,CanadianIncomeTrustId,reference_files.ecmcit,ECMCIT,Id,reference,many-to-one,derived,ECM_nn.xml:14,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.commonstatusid,ecm.deal,ECMDeal,CommonStatusId,reference_files.dealstatus.dealstatus,DealStatus,Id,reference,many-to-one,derived,ECM_nn.xml:17,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.currencyisocode,ecm.deal,ECMDeal,CurrencyISOCode,reference_files.currency,Currency,ISOCode,reference,many-to-one,derived,ECM_nn.xml:20,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.issuerid,ecm.deal,ECMDeal,IssuerId,company.company,Company,Id,reference,many-to-one,derived,ECM_nn.xml:59,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.revisiondirectionid,ecm.deal,ECMDeal,RevisionDirectionId,reference_files.ecmrevisiondirection,ECMRevisionDirection,Id,reference,many-to-one,derived,ECM_nn.xml:97,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.shelftypeid,ecm.deal,ECMDeal,ShelfTypeId,reference_files.ecmshelftype,ECMShelfType,Id,reference,many-to-one,derived,ECM_nn.xml:123,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.typeid,ecm.deal,ECMDeal,TypeId,reference_files.ecmdealtype,ECMDealType,Id,reference,many-to-one,derived,ECM_nn.xml:139,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.underlyingassetid,ecm.deal,ECMDeal,UnderlyingAssetId,company.company,Company,Id,reference,many-to-one,derived,ECM_nn.xml:140,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.deal.withdrawnpostponedid,ecm.deal,ECMDeal,WithdrawnPostponedId,reference_files.ecmwithdrawn,ECMWithdrawn,,reference,many-to-one,derived,ECM_nn.xml:149,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.atmbasisid,ecm.tranche,ECMDealTranches,ATMBasisId,reference_files.ecmatmbasis,ECMATMBasis,Id,reference,many-to-one,derived,ECM_nn.xml:161,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.bearerregisteredid,ecm.tranche,ECMDealTranches,BearerRegisteredId,reference_files.bearertype,BearerType,Id,reference,many-to-one,derived,ECM_nn.xml:169,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.callfrequencyid,ecm.tranche,ECMDealTranches,CallFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,ECM_nn.xml:172,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.convertiblerankid,ecm.tranche,ECMDealTranches,ConvertibleRankId,reference_files.ecmconvertiblerank,ECMConvertibleRank,Id,reference,many-to-one,derived,ECM_nn.xml:178,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.couponfrequencyid,ecm.tranche,ECMDealTranches,CouponFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,ECM_nn.xml:179,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.currencyisocode,ecm.tranche,ECMDealTranches,CurrencyISOCode,reference_files.currency,Currency,ISOCode,reference,many-to-one,derived,ECM_nn.xml:181,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.marketsubtypeid,ecm.tranche,ECMDealTranches,MarketSubTypeId,reference_files.ecmmarketsubtype,ECMMarketSubType,Id,reference,many-to-one,derived,ECM_nn.xml:220,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.offertypeid,ecm.tranche,ECMDealTranches,OfferTypeId,reference_files.ecmoffertype,ECMOfferType,Id,reference,many-to-one,derived,ECM_nn.xml:224,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.pricerangeid,ecm.tranche,ECMDealTranches,PriceRangeId,reference_files.ecmpricerange,ECMPriceRange,Id,reference,many-to-one,derived,ECM_nn.xml:238,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.putfrequencyid,ecm.tranche,ECMDealTranches,PutFrequencyId,reference_files.frequency,Frequency,Id,reference,many-to-one,derived,ECM_nn.xml:239,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.securitytypeid,ecm.tranche,ECMDealTranches,SecurityTypeId,reference_files.ecmsecuritytype,ECMSecurityType,Id,reference,many-to-one,derived,ECM_nn.xml:246,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.tranche.subtypeid,ecm.tranche,ECMDealTranches,SubTypeId,reference_files.ecmsubtype,ECMSubType,Id,reference,many-to-one,derived,ECM_nn.xml:253,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.exchange.exchangeid,ecm.exchange,ECMDealListings,ExchangeId,reference_files.exchange,Exchange,Id,reference,many-to-one,derived,ECM_nn.xml:270,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.financialsponsor.activitytypeid,ecm.financialsponsor,ECMDealTranchesFinancialSponsors,ActivityTypeId,reference_files.sponsoractivitytype,SponsorActivityType,Id,reference,many-to-one,derived,ECM_nn.xml:277,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.financialsponsor.financialsponsorid,ecm.financialsponsor,ECMDealTranchesFinancialSponsors,FinancialSponsorId,company.company,Company,Id,reference,many-to-one,derived,ECM_nn.xml:278,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.guarantor.guarantorid,ecm.guarantor,ECMDealGuarantors,GuarantorId,company.company,Company,Id,reference,many-to-one,derived,ECM_nn.xml:285,Reference target inferred from the field name and business description; verify against the live database.
reference.ecm.subtype.subtypeid,ecm.subtype,ECMDealSubTypes,SubTypeId,reference_files.ecmsubtype,ECMSubType,Id,reference,many-to-one,derived,ECM_nn.xml:299,Reference target inferred from the field name and business description; verify against the live database.
