database,name,Agency ID,Resource ID,Latest Version,Unique ID
IMF.STA:PI_WCA,"Production Indexes, World and Country Group Aggregates",IMF.STA,PI_WCA,1.0.0,IMF.STA:PI_WCA(1.0.0)
IMF.STA:INFORMRISK,Climate-Driven INFORM Risk Indicator,IMF.STA,INFORMRISK,1.0.4,IMF.STA:INFORMRISK(1.0.4)
IMF.STA:MFS_FMP,Monetary and Financial Statistics (MFS): Financial Market Prices,IMF.STA,MFS_FMP,3.0.0,IMF.STA:MFS_FMP(3.0.0)
ILO:DF_UNE_2EAP_SEX_AGE_RT,"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2024",ILO,DF_UNE_2EAP_SEX_AGE_RT,1.0,ILO:DF_UNE_2EAP_SEX_AGE_RT(1.0)
IMF.STA:RE,Renewable Energy,IMF.STA,RE,2.0.1,IMF.STA:RE(2.0.1)
IMF.STA:GENENVPROEXP,Government Environmental Protection Expenditures,IMF.STA,GENENVPROEXP,1.0.2,IMF.STA:GENENVPROEXP(1.0.2)
ILO:DF_EIP_WPLF_SEX_AGE_NB,Potential labour force by sex and age,ILO,DF_EIP_WPLF_SEX_AGE_NB,1.0,ILO:DF_EIP_WPLF_SEX_AGE_NB(1.0)
IMF.STA:GPI,Government Policy Indicators (GPI),IMF.STA,GPI,3.0.1,IMF.STA:GPI(3.0.1)
IMF.CSF:BBGDL,Bloomberg Data License,IMF.CSF,BBGDL,4.0.2,IMF.CSF:BBGDL(4.0.2)
IMF.STA:BOP,Balance of Payments (BOP),IMF.STA,BOP,21.0.0,IMF.STA:BOP(21.0.0)
ILO:DF_SDG_0821_NOC_RT,SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2021 international $ at PPP),ILO,DF_SDG_0821_NOC_RT,1.0,ILO:DF_SDG_0821_NOC_RT(1.0)
IMF.STA:IRFCL,International Reserves and Foreign Currency Liquidity (IRFCL),IMF.STA,IRFCL,11.0.0,IMF.STA:IRFCL(11.0.0)
IMF.SPR:DSA_SRDSF,Sovereign Risk and Debt Sustainability Framework for Market Access Countries (DSA_SRDSF),IMF.SPR,DSA_SRDSF,9.0.0,IMF.SPR:DSA_SRDSF(9.0.0)
IMF.STA:MFS_DC,"Monetary and Financial Statistics (MFS), Depository Corporations",IMF.STA,MFS_DC,8.0.0,IMF.STA:MFS_DC(8.0.0)
IMF.STA:ESG_FINANCE,Sustainable Bonds,IMF.STA,ESG_FINANCE,2.0.3,IMF.STA:ESG_FINANCE(2.0.3)
IMF.WHD:WHDREO,Western Hemisphere Regional Economic Outlook (WHDREO),IMF.WHD,WHDREO,5.0.0,IMF.WHD:WHDREO(5.0.0)
IMF.STA:LS,Labor Statistics (LS),IMF.STA,LS,9.0.0,IMF.STA:LS(9.0.0)
IMF.STA:CCI,Climate Change Indicators,IMF.STA,CCI,4.0.1,IMF.STA:CCI(4.0.1)
ESTAT:PRC_HICP_MIDX,HICP - monthly data (index),ESTAT,PRC_HICP_MIDX,1.0,ESTAT:PRC_HICP_MIDX(1.0)
IMF.FAD:ICSD,Investment and Capital Stock Dataset (ICSD),IMF.FAD,ICSD,1.0.0,IMF.FAD:ICSD(1.0.0)
IMF.STA:PIP,Portfolio Investment Positions by Counterpart Economy (formerly CPIS),IMF.STA,PIP,5.0.0,IMF.STA:PIP(5.0.0)
IMF.STA:FLTRI,Forward Looking Transition Risk Indicators,IMF.STA,FLTRI,2.0.1,IMF.STA:FLTRI(2.0.1)
IMF.STA:CPI,Consumer Price Index (CPI),IMF.STA,CPI,5.0.0,IMF.STA:CPI(5.0.0)
ESTAT:ERT_BIL_EUR_D,Euro/ECU exchange rates - daily data,ESTAT,ERT_BIL_EUR_D,1.0,ESTAT:ERT_BIL_EUR_D(1.0)
IMF.STA:FA,Fund Accounts (FA),IMF.STA,FA,8.0.0,IMF.STA:FA(8.0.0)
ESTAT:STS_INPI_M,Import prices in industry - monthly data,ESTAT,STS_INPI_M,1.0,ESTAT:STS_INPI_M(1.0)
IMF.STA:GS_LGRGHTS,Gender Statistics (GS) Legal Rights,IMF.STA,GS_LGRGHTS,1.0.1,IMF.STA:GS_LGRGHTS(1.0.1)
IMF.RES:ED,Export Diversification (ED),IMF.RES,ED,1.0.0,IMF.RES:ED(1.0.0)
IMF.STA:NDGAIN,IMF-Adapted ND-GAIN Index (NDGAIN),IMF.STA,NDGAIN,1.0.1,IMF.STA:NDGAIN(1.0.1)
IMF.WHD:RSUI,Reported Social Unrest Index (RSUI),IMF.WHD,RSUI,1.0.0,IMF.WHD:RSUI(1.0.0)
IMF.STA:EER,Effective Exchange Rate (EER),IMF.STA,EER,6.0.0,IMF.STA:EER(6.0.0)
ESTAT:NAMA_10_A64,Gross value added and income by detailed industry (NACE Rev.2 ),ESTAT,NAMA_10_A64,1.0,ESTAT:NAMA_10_A64(1.0)
ISORA:ISORA_2016_DATA_PUB,ISORA 2016 Data,ISORA,ISORA_2016_DATA_PUB,2.0.0,ISORA:ISORA_2016_DATA_PUB(2.0.0)
ISORA:ISORA_LATEST_DATA_PUB,ISORA Latest Data,ISORA,ISORA_LATEST_DATA_PUB,4.0.0,ISORA:ISORA_LATEST_DATA_PUB(4.0.0)
IMF.STA:GFS_SFCP,GFS Stocks and Flows by Counterparty,IMF.STA,GFS_SFCP,10.0.0,IMF.STA:GFS_SFCP(10.0.0)
IMF.STA:ESG_FINANCE_ISSUER,Sustainable Bonds by Type of Issuer,IMF.STA,ESG_FINANCE_ISSUER,2.0.3,IMF.STA:ESG_FINANCE_ISSUER(2.0.3)
IMF.STA:FSIC,"Financial Soundness Indicators (FSI), Core and Additional Indicators",IMF.STA,FSIC,13.0.1,IMF.STA:FSIC(13.0.1)
UNICEF:GENDER,Gender,UNICEF,GENDER,1.0,UNICEF:GENDER(1.0)
ESTAT:ERT_BIL_EUR_M,Euro/ECU exchange rates - monthly data,ESTAT,ERT_BIL_EUR_M,1.0,ESTAT:ERT_BIL_EUR_M(1.0)
WB:QEDS,Quarterly External Debt Statistics (QEDS),WB,QEDS,1.0.0,WB:QEDS(1.0.0)
IMF.STA:QGDP_WCA,"Quarterly Gross Domestic Product (GDP), World and Country Aggregates",IMF.STA,QGDP_WCA,4.0.0,IMF.STA:QGDP_WCA(4.0.0)
IMF.RES:SRD,Structural Reform Database (SRD),IMF.RES,SRD,1.0.0,IMF.RES:SRD(1.0.0)
ESTAT:STS_INPP_M,"Producer prices in industry, total - monthly data",ESTAT,STS_INPP_M,1.0,ESTAT:STS_INPP_M(1.0)
ILO:DF_UNE_DEA1_SEX_AGE_RT,"Unemployment rate by sex and age, seasonally adjusted series (Sub-annual)",ILO,DF_UNE_DEA1_SEX_AGE_RT,1.0,ILO:DF_UNE_DEA1_SEX_AGE_RT(1.0)
IMF.STA:WPFXI,Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies,IMF.STA,WPFXI,1.0.2,IMF.STA:WPFXI(1.0.2)
IMF.STA:GS_LI,Gender Statistics (GS) Labor and Income,IMF.STA,GS_LI,1.0.0,IMF.STA:GS_LI(1.0.0)
IMF.RES.GDS:GDS,Global Data Source (GDS),IMF.RES.GDS,GDS,2.0.0,IMF.RES.GDS:GDS(2.0.0)
IMF.RES:PCPSF,Commodity Forecast (PCPSF),IMF.RES,PCPSF,8.0.0,IMF.RES:PCPSF(8.0.0)
IMF.RES:FSI,Financial Stress Index (FSI),IMF.RES,FSI,3.0.1,IMF.RES:FSI(3.0.1)
IMF.STA:CFBL,Carbon Footprint of Bank Loans,IMF.STA,CFBL,1.0.3,IMF.STA:CFBL(1.0.3)
IMF.RES.WEO:WEO_LIVE,World Economic Outlook (WEO) Live,IMF.RES.WEO,WEO_LIVE,3.0.0,IMF.RES.WEO:WEO_LIVE(3.0.0)
IMF.FAD:FM,Fiscal Monitor (FM),IMF.FAD,FM,5.0.0,IMF.FAD:FM(5.0.0)
IMF.STA:WPCPER,Crypto-based Parallel Exchange Rates (Working Paper dataset WP-CPER),IMF.STA,WPCPER,6.0.0,IMF.STA:WPCPER(6.0.0)
IMF.FAD:GDD,Global Debt Database (GDD),IMF.FAD,GDD,2.0.0,IMF.FAD:GDD(2.0.0)
IMF.RES:PCPS,Primary Commodity Price System (PCPS),IMF.RES,PCPS,9.0.0,IMF.RES:PCPS(9.0.0)
ILO:DF_UNE_TUNE_SEX_AGE_NB,Unemployment by sex and age,ILO,DF_UNE_TUNE_SEX_AGE_NB,1.0,ILO:DF_UNE_TUNE_SEX_AGE_NB(1.0)
IMF.STA:GFS_COFOG,GFS Government Expenditures by Function,IMF.STA,GFS_COFOG,11.0.0,IMF.STA:GFS_COFOG(11.0.0)
IMF.STA:ANEA,"National Economic Accounts (NEA), Annual Data",IMF.STA,ANEA,6.0.1,IMF.STA:ANEA(6.0.1)
IMF.STA:FD,Fiscal Decentralization (FD),IMF.STA,FD,6.0.0,IMF.STA:FD(6.0.0)
ESTAT:ERT_BIL_EUR_A,Euro/ECU exchange rates - annual data,ESTAT,ERT_BIL_EUR_A,1.0,ESTAT:ERT_BIL_EUR_A(1.0)
IMF.CSF:CF_LT,"Consensus Forecasts (CF), Long-Term",IMF.CSF,CF_LT,10.0.0,IMF.CSF:CF_LT(10.0.0)
IMF.STA:CO2E,"CO2 emissions embodied in domestic final demand, production, and trade (CO2E)",IMF.STA,CO2E,2.0.1,IMF.STA:CO2E(2.0.1)
IMF.STA:GS_CGI,Gender Statistics (GS) Composite Gender Indices (CGI),IMF.STA,GS_CGI,3.0.0,IMF.STA:GS_CGI(3.0.0)
IMF.STA:ER,Exchange Rates (ER),IMF.STA,ER,4.0.1,IMF.STA:ER(4.0.1)
IMF.RES:ECFIE,Earnings-Calls-based Firm Inflation Expectations (ECFIE),IMF.RES,ECFIE,2.0.3,IMF.RES:ECFIE(2.0.3)
IMF.STA:PDFTC,Projected Damages from Floods and Tropical Cyclones,IMF.STA,PDFTC,2.0.0,IMF.STA:PDFTC(2.0.0)
IMF.STA:GS_ATF,Gender Statistics (GS) Access to Finance (ATF),IMF.STA,GS_ATF,1.0.0,IMF.STA:GS_ATF(1.0.0)
IMF.RES:EQ,Export Quality (EQ),IMF.RES,EQ,2.0.0,IMF.RES:EQ(2.0.0)
IMF.STA.DS:FDPORTAL,FDPortal,IMF.STA.DS,FDPORTAL,1.0.0,IMF.STA.DS:FDPORTAL(1.0.0)
IMF.STA:GS_HEALTH,Gender Statistics (GS) Health,IMF.STA,GS_HEALTH,5.0.0,IMF.STA:GS_HEALTH(5.0.0)
IMF.FIN:SDRER,Special Drawing Right Exchange Rates,IMF.FIN,SDRER,5.0.0,IMF.FIN:SDRER(5.0.0)
IMF.STA:IL,International Liquidity (IL),IMF.STA,IL,13.0.1,IMF.STA:IL(13.0.1)
UNICEF:GLOBAL_DATAFLOW,Cross-sector indicators,UNICEF,GLOBAL_DATAFLOW,1.0,UNICEF:GLOBAL_DATAFLOW(1.0)
ESTAT:LFSI_EMP_Q,Employment and activity by sex and age - quarterly data,ESTAT,LFSI_EMP_Q,1.0,ESTAT:LFSI_EMP_Q(1.0)
IMF.STA:MFS_NSRF,"Monetary and Financial Statistics (MFS), Non-Standard Data",IMF.STA,MFS_NSRF,1.0.3,IMF.STA:MFS_NSRF(1.0.3)
IMF.STA:QNEA,"National Economic Accounts (NEA), Quarterly Data",IMF.STA,QNEA,7.0.0,IMF.STA:QNEA(7.0.0)
IMF.STA:EER_INPUTS,"Effective Exchange Rate (EER), Inputs",IMF.STA,EER_INPUTS,1.0.0,IMF.STA:EER_INPUTS(1.0.0)
IMF.AFR:AFRREO,Sub-Saharan Africa Regional Economic Outlook (AFRREO),IMF.AFR,AFRREO,7.0.0,IMF.AFR:AFRREO(7.0.0)
ILO:DF_EMP_NIFL_SEX_RT,Informal employment rate by sex,ILO,DF_EMP_NIFL_SEX_RT,1.0,ILO:DF_EMP_NIFL_SEX_RT(1.0)
IMF.STA:CO2EEIEM,Carbon Emission Per Unit of Output (CO2EEIEM),IMF.STA,CO2EEIEM,2.0.2,IMF.STA:CO2EEIEM(2.0.2)
IMF.STA:SPE,Special Purpose Entities (SPEs),IMF.STA,SPE,13.0.0,IMF.STA:SPE(13.0.0)
IMF.STA:GFS_BS,GFS Balance Sheet,IMF.STA,GFS_BS,12.0.0,IMF.STA:GFS_BS(12.0.0)
IMF.STA:IMTS,International Trade in Goods (by partner country) (IMTS),IMF.STA,IMTS,1.0.0,IMF.STA:IMTS(1.0.0)
IMF.STA:ITG,International Trade in Goods (ITG),IMF.STA,ITG,4.0.0,IMF.STA:ITG(4.0.0)
IMF.RES:CTOT,Commodity Terms of Trade (CTOT),IMF.RES,CTOT,5.0.1,IMF.RES:CTOT(5.0.1)
IMF.STA:NA_MAIN,National Accounts Main Aggregates (SDMX),IMF.STA,NA_MAIN,1.0.0,IMF.STA:NA_MAIN(1.0.0)
IMF.STA:GFS_SOEF,GFS Statement of Other Economic Flows,IMF.STA,GFS_SOEF,11.0.0,IMF.STA:GFS_SOEF(11.0.0)
IMF.STA:SDG,IMF Reported SDG Data,IMF.STA,SDG,2.0.1,IMF.STA:SDG(2.0.1)
IMF.STA:DIRI,Direct Investment-Related Indicators (DIRI),IMF.STA,DIRI,3.0.1,IMF.STA:DIRI(3.0.1)
ILO:DF_EAP_TEA1_SEX_AGE_NB,"Labour force by sex and age, seasonally adjusted series (Sub-annual)",ILO,DF_EAP_TEA1_SEX_AGE_NB,1.0,ILO:DF_EAP_TEA1_SEX_AGE_NB(1.0)
IMF.STA:GS_SDO,"Gender Statistics (GS) Social, demographic and other",IMF.STA,GS_SDO,1.0.0,IMF.STA:GS_SDO(1.0.0)
IMF.FAD:TAXFIT,Tax and Benefits Analysis Tool (TAXFIT),IMF.FAD,TAXFIT,3.0.1,IMF.FAD:TAXFIT(3.0.1)
IMF.HRD:PER,Pension Exchange Rates (PER),IMF.HRD,PER,2.0.0,IMF.HRD:PER(2.0.0)
IMF.STA:ENVTX,Environmental Taxes,IMF.STA,ENVTX,1.0.2,IMF.STA:ENVTX(1.0.2)
IMF.STA:ESG_FINANCE_CURRENCY,Sustainable Bonds by Type of Currency,IMF.STA,ESG_FINANCE_CURRENCY,3.0.3,IMF.STA:ESG_FINANCE_CURRENCY(3.0.3)
IMF.STA:DIP,Direct Investment Positions by Counterpart Economy (formerly CDIS),IMF.STA,DIP,12.0.1,IMF.STA:DIP(12.0.1)
ILO:DF_EIP_WPLF_SEX_AGE_MTS_NB,"Potential labour force by sex, age and marital status",ILO,DF_EIP_WPLF_SEX_AGE_MTS_NB,1.0,ILO:DF_EIP_WPLF_SEX_AGE_MTS_NB(1.0)
ILO:DF_EAP_2EAP_SEX_AGE_NB,"Labour force by sex and age -- ILO modelled estimates, Nov. 2024",ILO,DF_EAP_2EAP_SEX_AGE_NB,1.0,ILO:DF_EAP_2EAP_SEX_AGE_NB(1.0)
IMF.MCD:MCDREO,Middle East and Central Asia Regional Economic Outlook (MCDREO),IMF.MCD,MCDREO,8.0.0,IMF.MCD:MCDREO(8.0.0)
IMF.STA:QGFS,Quarterly Government Finance Statistics (QGFS),IMF.STA,QGFS,12.0.0,IMF.STA:QGFS(12.0.0)
ILO:DF_LUU_XLU3_SEX_AGE_RT,Combined rate of unemployment and potential labour force (LU3) by sex and age,ILO,DF_LUU_XLU3_SEX_AGE_RT,1.0,ILO:DF_LUU_XLU3_SEX_AGE_RT(1.0)
IMF.STA:MEES,Methane Emissions in the Energy Sector,IMF.STA,MEES,2.0.0,IMF.STA:MEES(2.0.0)
IMF.STA:BOP_AGG,"Balance of Payments and International Investment Position Statistics (BOP/IIP), World and Country Group Aggregates",IMF.STA,BOP_AGG,9.0.1,IMF.STA:BOP_AGG(9.0.1)
IMF.STA:FFS,Fossil Fuel Subsidies,IMF.STA,FFS,1.0.2,IMF.STA:FFS(1.0.2)
IMF.STA:PI,Production Indexes (PI),IMF.STA,PI,2.0.0,IMF.STA:PI(2.0.0)
ISORA:ISORA_2018_DATA_PUB,ISORA 2018 Data,ISORA,ISORA_2018_DATA_PUB,2.0.0,ISORA:ISORA_2018_DATA_PUB(2.0.0)
IMF.APD:APDREO,Asia and Pacific Regional Economic Outlook (APDREO),IMF.APD,APDREO,6.0.0,IMF.APD:APDREO(6.0.0)
ESTAT:UNE_RT_M,Unemployment by sex and age - monthly data,ESTAT,UNE_RT_M,1.0,ESTAT:UNE_RT_M(1.0)
IMF.STA:COFER,Currency Composition of Official Foreign Exchange Reserves (COFER),IMF.STA,COFER,7.0.1,IMF.STA:COFER(7.0.1)
IMF.FAD:HPD,Historical Public Debt (HPD),IMF.FAD,HPD,1.0.0,IMF.FAD:HPD(1.0.0)
IMF.STA:MFS_ODC,"Monetary and Financial Statistics (MFS), Other Depository Corporations",IMF.STA,MFS_ODC,10.0.0,IMF.STA:MFS_ODC(10.0.0)
IMF.STA:UNFCCC,Greenhouse Gas Emissions (UNFCCC),IMF.STA,UNFCCC,3.0.0,IMF.STA:UNFCCC(3.0.0)
ILO:DF_EIP_TEIP_SEX_AGE_NB,Persons outside the labour force by sex and age,ILO,DF_EIP_TEIP_SEX_AGE_NB,1.0,ILO:DF_EIP_TEIP_SEX_AGE_NB(1.0)
ESTAT:PRC_HICP_INW,HICP - item weights,ESTAT,PRC_HICP_INW,1.0,ESTAT:PRC_HICP_INW(1.0)
IMF.STA:FAS,Financial Access Survey (FAS),IMF.STA,FAS,5.0.0,IMF.STA:FAS(5.0.0)
IMF.RES:WEO,World Economic Outlook (WEO),IMF.RES,WEO,9.0.0,IMF.RES:WEO(9.0.0)
WB:WDI,World Development Indicators,WB,WDI,1.0.0,WB:WDI(1.0.0)
IMF.SPR:FSA,Fiscal Space Assessment (FSA),IMF.SPR,FSA,2.0.1,IMF.SPR:FSA(2.0.1)
IMF.STA:FSIBSIS,"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series",IMF.STA,FSIBSIS,18.0.0,IMF.STA:FSIBSIS(18.0.0)
IMF.STA:FSICDM,"Financial Soundness Indicators (FSI), Concentration and Distribution Measures",IMF.STA,FSICDM,7.0.0,IMF.STA:FSICDM(7.0.0)
IMF.STA:CPI_WCA,"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA)",IMF.STA,CPI_WCA,3.0.0,IMF.STA:CPI_WCA(3.0.0)
IMF.STA:CRBRATE,Carbon Rates,IMF.STA,CRBRATE,2.0.2,IMF.STA:CRBRATE(2.0.2)
IMF.STA:GS_ED,Gender Statistics (GS) Education,IMF.STA,GS_ED,3.0.0,IMF.STA:GS_ED(3.0.0)
IMF.STA:MFS_CBS,"Monetary and Financial Statistics (MFS), Central Bank Data",IMF.STA,MFS_CBS,24.0.0,IMF.STA:MFS_CBS(24.0.0)
ILO:DF_EAP_TEAP_SEX_AGE_NB,Labour force by sex and age,ILO,DF_EAP_TEAP_SEX_AGE_NB,1.0,ILO:DF_EAP_TEAP_SEX_AGE_NB(1.0)
ESTAT:NAIDQ_10_GDP,GDP and main aggregates - international data cooperation quarterly data,ESTAT,NAIDQ_10_GDP,1.0,ESTAT:NAIDQ_10_GDP(1.0)
IMF.STA:PPI,Producer Price Index (PPI),IMF.STA,PPI,3.0.0,IMF.STA:PPI(3.0.0)
IMF.STA:GS_LEPM,Gender Statistics (GS) Leadership and empowerment (LEPM),IMF.STA,GS_LEPM,2.0.0,IMF.STA:GS_LEPM(2.0.0)
WTO:WTOIMFTT,WTO-IMF Tariff Tracker (WTOIMFTT),WTO,WTOIMFTT,3.0.0,WTO:WTOIMFTT(3.0.0)
IMF.FAD:WORLD,World Revenue Longitudinal Database (WoRLD),IMF.FAD,WORLD,3.0.1,IMF.FAD:WORLD(3.0.1)
IMF.STA:AEA,Air Emissions Accounts (AEA),IMF.STA,AEA,7.0.0,IMF.STA:AEA(7.0.0)
IMF.RES:ITS,International Trade in Services (ITS),IMF.RES,ITS,3.0.1,IMF.RES:ITS(3.0.1)
IMF.STA:MFS_FC,"Monetary and Financial Statistics (MFS), Financial Corporations",IMF.STA,MFS_FC,9.0.0,IMF.STA:MFS_FC(9.0.0)
IMF.RES:MPFT,Monetary Policy Frameworks Toolkit (MPFT),IMF.RES,MPFT,7.0.1,IMF.RES:MPFT(7.0.1)
IMF.STA:GFS_SSUC,GFS Statement of Sources and Uses of Cash,IMF.STA,GFS_SSUC,10.0.0,IMF.STA:GFS_SSUC(10.0.0)
IMF.STA:NSDP,National Summary Data Page (NSDP),IMF.STA,NSDP,7.0.0,IMF.STA:NSDP(7.0.0)
