name,Agency ID,Resource ID,Latest Version,Unique ID
"Financial Soundness Indicators (FSI), Core and Additional Indicators",IMF.STA,FSIC,13.0.1,IMF.STA:FSIC(13.0.1)
Labour force by sex and age,ILO,DF_EAP_TEAP_SEX_AGE_NB,1.0,ILO:DF_EAP_TEAP_SEX_AGE_NB(1.0)
Projected Damages from Floods and Tropical Cyclones,IMF.STA,PDFTC,2.0.0,IMF.STA:PDFTC(2.0.0)
Sub-Saharan Africa Regional Economic Outlook (AFRREO),IMF.AFR,AFRREO,7.0.0,IMF.AFR:AFRREO(7.0.0)
WEO Live 1991 October,IMF.RES.WEO,WEO_LIVE_1991_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1991_OCT_VINTAGE(1.0.0)
GAS Live 2008 October Final,IMF.RES.GAS,GAS_LIVE_2008_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2008_OCT_FINAL_VINTAGE(1.0.0)
Direct Investment-Related Indicators (DIRI),IMF.STA,DIRI,3.0.1,IMF.STA:DIRI(3.0.1)
GEE Live 2024 January GAS1,IMF.RES.GEE,GEE_LIVE_2024_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_JAN_GAS1_VINTAGE(1.0.0)
WEO Live 2014 July,IMF.RES.WEO,WEO_LIVE_2014_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2014_JUL_VINTAGE(1.0.0)
WEO Live 2020 January (ICP2021PPP Weights),IMF.RES.WEO,WEO_LIVE_2020_JAN_ICP2021PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2020_JAN_ICP2021PPP_VINTAGE(1.0.0)
GEE Live 2025 October Final,IMF.RES.GEE,GEE_LIVE_2025_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_OCT_FINAL_VINTAGE(1.0.0)
GEE Live 2011 April Final,IMF.RES.GEE,GEE_LIVE_2011_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2011_APR_FINAL_VINTAGE(1.0.0)
WEO Live 2013 April,IMF.RES.WEO,WEO_LIVE_2013_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2013_APR_VINTAGE(1.0.0)
WEO Live 2013 October (ICP2011PPP Weights),IMF.RES.WEO,WEO_LIVE_2013_OCT_ICP2011PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2013_OCT_ICP2011PPP_VINTAGE(1.0.0)
GEE Live 2020 April GAS3c,IMF.RES.GEE,GEE_LIVE_2020_APR_GAS3C_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_APR_GAS3C_VINTAGE(1.0.0)
Quarterly External Debt Statistics (QEDS),WB,QEDS,1.0.0,WB:QEDS(1.0.0)
Air Emissions Accounts (AEA),IMF.STA,AEA,7.0.0,IMF.STA:AEA(7.0.0)
Exchange Rates (ER) 2026 January,IMF.STA,ER_2026_JAN_VINTAGE,1.0.0,IMF.STA:ER_2026_JAN_VINTAGE(1.0.0)
Fiscal Monitor (FM),IMF.FAD,FM,5.0.0,IMF.FAD:FM(5.0.0)
GAS Live 2015 January GAS1,IMF.RES.GAS,GAS_LIVE_2015_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2015_JAN_GAS1_VINTAGE(1.0.0)
GEE Live 2020 January Final,IMF.RES.GEE,GEE_LIVE_2020_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_JAN_FINAL_VINTAGE(1.0.0)
Pension Exchange Rates (PER),IMF.HRD,PER,2.0.0,IMF.HRD:PER(2.0.0)
GAS Live 2015 July GAS1,IMF.RES.GAS,GAS_LIVE_2015_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2015_JUL_GAS1_VINTAGE(1.0.0)
National Accounts Main Aggregates (SDMX),IMF.STA,NA_MAIN,1.0.0,IMF.STA:NA_MAIN(1.0.0)
WEO Live 2009 July,IMF.RES.WEO,WEO_LIVE_2009_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2009_JUL_VINTAGE(1.0.0)
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates",IMF.STA,QGDP_WCA,4.0.0,IMF.STA:QGDP_WCA(4.0.0)
GEE Live 2024 July GAS1,IMF.RES.GEE,GEE_LIVE_2024_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_JUL_GAS1_VINTAGE(1.0.0)
GEE Live 2026 April Final,IMF.RES.GEE,GEE_LIVE_2026_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2026_APR_FINAL_VINTAGE(1.0.0)
Structural Reform Database (SRD),IMF.RES,SRD,1.0.0,IMF.RES:SRD(1.0.0)
WEO Live 2008 October,IMF.RES.WEO,WEO_LIVE_2008_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2008_OCT_VINTAGE(1.0.0)
"Potential labour force by sex, age and marital status",ILO,DF_EIP_WPLF_SEX_AGE_MTS_NB,1.0,ILO:DF_EIP_WPLF_SEX_AGE_MTS_NB(1.0)
GEE Live 2012 April Final,IMF.RES.GEE,GEE_LIVE_2012_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2012_APR_FINAL_VINTAGE(1.0.0)
GAS Live 2022 October GAS3,IMF.RES.GAS,GAS_LIVE_2022_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_OCT_GAS3_VINTAGE(1.0.0)
GAS Live 2014 October GAS2,IMF.RES.GAS,GAS_LIVE_2014_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_OCT_GAS2_VINTAGE(1.0.0)
"Labour force by sex and age, seasonally adjusted series (Sub-annual)",ILO,DF_EAP_TEA1_SEX_AGE_NB,1.0,ILO:DF_EAP_TEA1_SEX_AGE_NB(1.0)
WEO Live 2022 January,IMF.RES.WEO,WEO_LIVE_2022_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2022_JAN_VINTAGE(1.0.0)
WEO Live 2012 October,IMF.RES.WEO,WEO_LIVE_2012_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2012_OCT_VINTAGE(1.0.0)
GAS Live 2020 April GAS3d,IMF.RES.GAS,GAS_LIVE_2020_APR_GAS3D_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_APR_GAS3D_VINTAGE(1.0.0)
WEO Live 2013 July,IMF.RES.WEO,WEO_LIVE_2013_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2013_JUL_VINTAGE(1.0.0)
GAS Live 2008 April Final,IMF.RES.GAS,GAS_LIVE_2008_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2008_APR_FINAL_VINTAGE(1.0.0)
GEE Live 2023 October GAS2,IMF.RES.GEE,GEE_LIVE_2023_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_OCT_GAS2_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Central Bank Data 2026 February",IMF.STA,MFS_CBS_2026_FEB_VINTAGE,1.0.0,IMF.STA:MFS_CBS_2026_FEB_VINTAGE(1.0.0)
Employment and activity by sex and age - quarterly data,ESTAT,LFSI_EMP_Q,1.0,ESTAT:LFSI_EMP_Q(1.0)
"Effective Exchange Rate (EER), Inputs",IMF.STA,EER_INPUTS,1.0.0,IMF.STA:EER_INPUTS(1.0.0)
GEE Live 2021 October GAS3,IMF.RES.GEE,GEE_LIVE_2021_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_OCT_GAS3_VINTAGE(1.0.0)
GEE Live 2013 April Final,IMF.RES.GEE,GEE_LIVE_2013_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2013_APR_FINAL_VINTAGE(1.0.0)
Unemployment by sex and age,ILO,DF_UNE_TUNE_SEX_AGE_NB,1.0,ILO:DF_UNE_TUNE_SEX_AGE_NB(1.0)
WEO Live 2007 July,IMF.RES.WEO,WEO_LIVE_2007_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2007_JUL_VINTAGE(1.0.0)
GAS Live 2022 July GAS1b,IMF.RES.GAS,GAS_LIVE_2022_JUL_GAS1B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_JUL_GAS1B_VINTAGE(1.0.0)
GEE Live 2019 January GAS1,IMF.RES.GEE,GEE_LIVE_2019_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2019_JAN_GAS1_VINTAGE(1.0.0)
Sub-Saharan Africa Regional Economic Outlook (AFRREO) 2025 October,IMF.AFR,AFRREO_2025_OCT_VINTAGE,1.0.0,IMF.AFR:AFRREO_2025_OCT_VINTAGE(1.0.0)
GAS Live 2012 October GAS3,IMF.RES.GAS,GAS_LIVE_2012_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2012_OCT_GAS3_VINTAGE(1.0.0)
GEE Live 2013 July Final,IMF.RES.GEE,GEE_LIVE_2013_JUL_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2013_JUL_FINAL_VINTAGE(1.0.0)
Special Purpose Entities (SPEs),IMF.STA,SPE,13.0.0,IMF.STA:SPE(13.0.0)
GAS Live 2023 April GAS2,IMF.RES.GAS,GAS_LIVE_2023_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2023_APR_GAS2_VINTAGE(1.0.0)
GAS Live 2009 October Final,IMF.RES.GAS,GAS_LIVE_2009_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2009_OCT_FINAL_VINTAGE(1.0.0)
Global Debt Database (GDD),IMF.FAD,GDD,2.0.0,IMF.FAD:GDD(2.0.0)
Informal employment rate by sex,ILO,DF_EMP_NIFL_SEX_RT,1.0,ILO:DF_EMP_NIFL_SEX_RT(1.0)
GEE Live 2013 October GAS2,IMF.RES.GEE,GEE_LIVE_2013_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2013_OCT_GAS2_VINTAGE(1.0.0)
GAS Live 2022 April GAS3,IMF.RES.GAS,GAS_LIVE_2022_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2014 July GAS1,IMF.RES.GEE,GEE_LIVE_2014_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2014_JUL_GAS1_VINTAGE(1.0.0)
GEE Live 2015 April GAS3,IMF.RES.GEE,GEE_LIVE_2015_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2015_APR_GAS3_VINTAGE(1.0.0)
WEO Live 2020 January,IMF.RES.WEO,WEO_LIVE_2020_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2020_JAN_VINTAGE(1.0.0)
WEO Live 2014 October,IMF.RES.WEO,WEO_LIVE_2014_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2014_OCT_VINTAGE(1.0.0)
Special Purpose Entities (SPEs) 2026 February,IMF.STA,SPE_2026_FEB_VINTAGE,1.0.0,IMF.STA:SPE_2026_FEB_VINTAGE(1.0.0)
GAS Live 2009 April Final,IMF.RES.GAS,GAS_LIVE_2009_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2009_APR_FINAL_VINTAGE(1.0.0)
WEO Live 2016 January,IMF.RES.WEO,WEO_LIVE_2016_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2016_JAN_VINTAGE(1.0.0)
WEO Live 2021 July,IMF.RES.WEO,WEO_LIVE_2021_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2021_JUL_VINTAGE(1.0.0)
GEE Live 2012 April GAS2,IMF.RES.GEE,GEE_LIVE_2012_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2012_APR_GAS2_VINTAGE(1.0.0)
GEE Live 2021 October Final,IMF.RES.GEE,GEE_LIVE_2021_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_OCT_FINAL_VINTAGE(1.0.0)
GEE Live 2020 April GAS3,IMF.RES.GEE,GEE_LIVE_2020_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2019 April GAS3,IMF.RES.GEE,GEE_LIVE_2019_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2019_APR_GAS3_VINTAGE(1.0.0)
Currency Composition of Official Foreign Exchange Reserves (COFER) 2025 October,IMF.STA,COFER_2025_OCT_VINTAGE,1.0.0,IMF.STA:COFER_2025_OCT_VINTAGE(1.0.0)
GEE Live 2024 April Final,IMF.RES.GEE,GEE_LIVE_2024_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_APR_FINAL_VINTAGE(1.0.0)
Currency Composition of the International Investment Position (IIPCC) 2026 January,IMF.STA,IIPCC_2026_JAN_VINTAGE,1.0.0,IMF.STA:IIPCC_2026_JAN_VINTAGE(1.0.0)
Gender Statistics (GS) Composite Gender Indices (CGI),IMF.STA,GS_CGI,3.0.0,IMF.STA:GS_CGI(3.0.0)
GAS Live 2003 September Final,IMF.RES.GAS,GAS_LIVE_2003_SEP_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2003_SEP_FINAL_VINTAGE(1.0.0)
WEO Live 2017 January,IMF.RES.WEO,WEO_LIVE_2017_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2017_JAN_VINTAGE(1.0.0)
GEE Live 2016 October GAS3,IMF.RES.GEE,GEE_LIVE_2016_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_OCT_GAS3_VINTAGE(1.0.0)
GEE Live 2015 April Final,IMF.RES.GEE,GEE_LIVE_2015_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2015_APR_FINAL_VINTAGE(1.0.0)
GEE Live 2022 January Final,IMF.RES.GEE,GEE_LIVE_2022_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_JAN_FINAL_VINTAGE(1.0.0)
Exchange Rates (ER),IMF.STA,ER,4.0.1,IMF.STA:ER(4.0.1)
Fund Accounts (FA) 2026 January,IMF.STA,FA_2026_JAN_VINTAGE,1.0.0,IMF.STA:FA_2026_JAN_VINTAGE(1.0.0)
Gender Statistics (GS) Access to Finance (ATF),IMF.STA,GS_ATF,1.0.0,IMF.STA:GS_ATF(1.0.0)
WEO Live 2014 January,IMF.RES.WEO,WEO_LIVE_2014_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2014_JAN_VINTAGE(1.0.0)
Special Drawing Right Exchange Rates,IMF.FIN,SDRER,5.0.0,IMF.FIN:SDRER(5.0.0)
Exchange Rates (ER) 2026 February,IMF.STA,ER_2026_FEB_VINTAGE,2.0.0,IMF.STA:ER_2026_FEB_VINTAGE(2.0.0)
WEO Live 2020 October,IMF.RES.WEO,WEO_LIVE_2020_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2020_OCT_VINTAGE(1.0.0)
GAS Live 2011 September GAS2,IMF.RES.GAS,GAS_LIVE_2011_SEP_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2011_SEP_GAS2_VINTAGE(1.0.0)
GEE Live 2021 April GAS3,IMF.RES.GEE,GEE_LIVE_2021_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_APR_GAS3_VINTAGE(1.0.0)
GAS Live 2004 April Final,IMF.RES.GAS,GAS_LIVE_2004_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2004_APR_FINAL_VINTAGE(1.0.0)
GEE Live 2024 January Final,IMF.RES.GEE,GEE_LIVE_2024_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_JAN_FINAL_VINTAGE(1.0.0)
GEE Live 2018 July Final,IMF.RES.GEE,GEE_LIVE_2018_JUL_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2018_JUL_FINAL_VINTAGE(1.0.0)
GAS Live 2020 April GAS2b,IMF.RES.GAS,GAS_LIVE_2020_APR_GAS2B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_APR_GAS2B_VINTAGE(1.0.0)
WEO Live 2014 April,IMF.RES.WEO,WEO_LIVE_2014_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2014_APR_VINTAGE(1.0.0)
"Labour force by sex and age -- ILO modelled estimates, Nov. 2024",ILO,DF_EAP_2EAP_SEX_AGE_NB,1.0,ILO:DF_EAP_2EAP_SEX_AGE_NB(1.0)
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies,IMF.STA,WPFXI,1.0.2,IMF.STA:WPFXI(1.0.2)
GEE Live 2025 July Final,IMF.RES.GEE,GEE_LIVE_2025_JUL_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_JUL_FINAL_VINTAGE(1.0.0)
Fiscal Monitor (FM) 2025 October,IMF.FAD,FM_2025_OCT_VINTAGE,1.0.0,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0)
GEE Live 2021 January GAS1b,IMF.RES.GEE,GEE_LIVE_2021_JAN_GAS1B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_JAN_GAS1B_VINTAGE(1.0.0)
GFS Government Expenditures by Function,IMF.STA,GFS_COFOG,11.0.0,IMF.STA:GFS_COFOG(11.0.0)
GAS Live 2012 April GAS3,IMF.RES.GAS,GAS_LIVE_2012_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2012_APR_GAS3_VINTAGE(1.0.0)
Earnings-Calls-based Firm Inflation Expectations (ECFIE),IMF.RES,ECFIE,2.0.3,IMF.RES:ECFIE(2.0.3)
GEE Live 2012 January GAS0,IMF.RES.GEE,GEE_LIVE_2012_JAN_GAS0_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2012_JAN_GAS0_VINTAGE(1.0.0)
GAS Live 2024 July GAS1,IMF.RES.GAS,GAS_LIVE_2024_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2024_JUL_GAS1_VINTAGE(1.0.0)
WEO Live 2009 April,IMF.RES.WEO,WEO_LIVE_2009_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2009_APR_VINTAGE(1.0.0)
Unemployment by sex and age - monthly data,ESTAT,UNE_RT_M,1.0,ESTAT:UNE_RT_M(1.0)
GAS Live 2011 April GAS3,IMF.RES.GAS,GAS_LIVE_2011_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2011_APR_GAS3_VINTAGE(1.0.0)
International Trade in Goods (ITG) 2026 February,IMF.STA,ITG_2026_FEB_VINTAGE,1.0.0,IMF.STA:ITG_2026_FEB_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Depository Corporations",IMF.STA,MFS_DC,8.0.0,IMF.STA:MFS_DC(8.0.0)
GEE Live 2015 October GAS3,IMF.RES.GEE,GEE_LIVE_2015_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2015_OCT_GAS3_VINTAGE(1.0.0)
GEE Live 2020 January GAS1,IMF.RES.GEE,GEE_LIVE_2020_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_JAN_GAS1_VINTAGE(1.0.0)
"National Economic Accounts (NEA), Annual Data",IMF.STA,ANEA,6.0.1,IMF.STA:ANEA(6.0.1)
GAS Live 2019 October GAS2 (JPN EDNA Fix),IMF.RES.GAS,GAS_LIVE_2019_OCT_GAS2_JPN_EDNA_FIX_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_OCT_GAS2_JPN_EDNA_FIX_VINTAGE(1.0.0)
Quarterly Government Finance Statistics (QGFS),IMF.STA,QGFS,12.0.0,IMF.STA:QGFS(12.0.0)
GEE Live 2013 April GAS2,IMF.RES.GEE,GEE_LIVE_2013_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2013_APR_GAS2_VINTAGE(1.0.0)
GAS Live 2019 October Final,IMF.RES.GAS,GAS_LIVE_2019_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_OCT_FINAL_VINTAGE(1.0.0)
"Production Indexes, World and Country Group Aggregates 2026 February",IMF.STA,PI_WCA_2026_FEB_VINTAGE,1.0.0,IMF.STA:PI_WCA_2026_FEB_VINTAGE(1.0.0)
GAS Live 2011 January GAS1,IMF.RES.GAS,GAS_LIVE_2011_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2011_JAN_GAS1_VINTAGE(1.0.0)
"Financial Soundness Indicators (FSI), Concentration and Distribution Measures",IMF.STA,FSICDM,7.0.0,IMF.STA:FSICDM(7.0.0)
GEE Live 2017 April Final,IMF.RES.GEE,GEE_LIVE_2017_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2017_APR_FINAL_VINTAGE(1.0.0)
WEO Live 2009 January,IMF.RES.WEO,WEO_LIVE_2009_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2009_JAN_VINTAGE(1.0.0)
GEE Live 2018 July GAS1,IMF.RES.GEE,GEE_LIVE_2018_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2018_JUL_GAS1_VINTAGE(1.0.0)
FDPortal,IMF.STA.DS,FDPORTAL,1.0.0,IMF.STA.DS:FDPORTAL(1.0.0)
GAS Live 2019 October GAS2,IMF.RES.GAS,GAS_LIVE_2019_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_OCT_GAS2_VINTAGE(1.0.0)
WEO Live 2013 January,IMF.RES.WEO,WEO_LIVE_2013_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2013_JAN_VINTAGE(1.0.0)
Greenhouse Gas Emissions (UNFCCC),IMF.STA,UNFCCC,2.0.1,IMF.STA:UNFCCC(2.0.1)
WEO Live 1993 October,IMF.RES.WEO,WEO_LIVE_1993_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1993_OCT_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Interest Rate 2026 January",IMF.STA,MFS_IR_2026_JAN_VINTAGE,1.0.0,IMF.STA:MFS_IR_2026_JAN_VINTAGE(1.0.0)
WEO Live 1990 May,IMF.RES.WEO,WEO_LIVE_1990_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1990_MAY_VINTAGE(1.0.0)
WEO Live 1990 October,IMF.RES.WEO,WEO_LIVE_1990_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1990_OCT_VINTAGE(1.0.0)
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA)",IMF.STA,CPI_WCA,3.0.0,IMF.STA:CPI_WCA(3.0.0)
GFS Stocks and Flows by Counterparty,IMF.STA,GFS_SFCP,10.0.0,IMF.STA:GFS_SFCP(10.0.0)
GEE Live 2019 October GAS3,IMF.RES.GEE,GEE_LIVE_2019_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2019_OCT_GAS3_VINTAGE(1.0.0)
GAS Live 2025 July GAS1b,IMF.RES.GAS,GAS_LIVE_2025_JUL_GAS1B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2025_JUL_GAS1B_VINTAGE(1.0.0)
ISORA 2016 Data,ISORA,ISORA_2016_DATA_PUB,2.0.0,ISORA:ISORA_2016_DATA_PUB(2.0.0)
GEE Live 2022 April Final,IMF.RES.GEE,GEE_LIVE_2022_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_APR_FINAL_VINTAGE(1.0.0)
